Oidcpu1min ,                                    .1.3.6.1.4.1.9.2.1.57.0
OidrttMonLatestJitterOperRTTMax ,               .1.3.6.1.4.1.9.9.42.1.5.2.1.5
OidrttMonLatestJitterOperPacketLossSD ,         .1.3.6.1.4.1.9.9.42.1.5.2.1.26
OidrttMonLatestJitterOperPacketLossDS ,         .1.3.6.1.4.1.9.9.42.1.5.2.1.27
OidrttMonLatestJitterOperPacketOutOfSequence ,  .1.3.6.1.4.1.9.9.42.1.5.2.1.28
OidrttMonLatestJitterOperPacketMIA ,            .1.3.6.1.4.1.9.9.42.1.5.2.1.29
OidrttMonLatestJitterOperPacketLateArrival ,    .1.3.6.1.4.1.9.9.42.1.5.2.1.30
OidrttMonLatestJitterOperAvgJitter ,            .1.3.6.1.4.1.9.9.42.1.5.2.1.46
OidrttMonLatestJitterOperAvgJitterSD ,          .1.3.6.1.4.1.9.9.42.1.5.2.1.47
OidrttMonLatestJitterOperAvgJitterDS ,          .1.3.6.1.4.1.9.9.42.1.5.2.1.48
OidrttMonLatestJitterOperAvgJitterOWSD ,        .1.3.6.1.4.1.9.9.42.1.5.2.1.49
OidrttMonLatestJitterOperAvgJitterOWDS ,        .1.3.6.1.4.1.9.9.42.1.5.2.1.50
OidvpnCPUtemp ,                                 .1.3.6.1.4.1.3076.2.1.2.22.1.29
OidvpnCagetemp ,                                .1.3.6.1.4.1.3076.2.1.2.22.1.33
OidvpnCPUutil ,                                 .1.3.6.1.4.1.3076.2.1.2.25.1.2
OidvpnActivePhase1ipSecSessions ,               .1.3.6.1.4.1.9.9.171.1.2.1.1
#     OidalActiveSessionCount ,                 .1.3.6.1.4.1.3076.2.1.2.17.1.1
OidalTotalSessionCount ,                        .1.3.6.1.4.1.3076.2.1.2.17.1.2
OidalActiveLanToLanSessionCount ,               .1.3.6.1.4.1.3076.2.1.2.17.1.7
OidalActiveManagementSessionCount ,             .1.3.6.1.4.1.3076.2.1.2.17.1.8
OidalActiveRemoteAccessSessionCount ,           .1.3.6.1.4.1.3076.2.1.2.17.1.9
OidalActiveSessionMaxUsers ,                    .1.3.6.1.4.1.3076.2.1.2.17.1.4
OidalPptpStatsTotalSessions ,                   .1.3.6.1.4.1.3076.2.1.2.3.1.8
OidClientsAssociated ,                          .1.3.6.1.4.1.522.3.12.1.8
OidClientsTotal ,                               .1.3.6.1.4.1.522.3.12.1.7
OidAPCount ,                                    .1.3.6.1.4.1.522.3.12.1.13
OidawcFtBridge ,                                .1.3.6.1.4.1.522.3.12.1.9
OidawcFtBridgeSelf ,                            .1.3.6.1.4.1.522.3.12.1.10
OidpixConnections ,                             .1.3.6.1.4.1.9.9.147.1.2.2.2.1.5.40.6
OidaByteBlocksFree ,                            .1.3.6.1.4.1.9.9.147.1.2.2.1.1.4.4.8
OidbByteBlocksFree ,                            .1.3.6.1.4.1.9.9.147.1.2.2.1.1.4.80.8
OidcByteBlocksFree ,                            .1.3.6.1.4.1.9.9.147.1.2.2.1.1.4.256.8
OiddByteBlocksFree ,                            .1.3.6.1.4.1.9.9.147.1.2.2.1.1.4.1550.8
OidccarStatSwitchedPkts ,                       .1.3.6.1.4.1.9.9.113.1.2.1.1.1
OidccarStatSwitchedBytes ,                      .1.3.6.1.4.1.9.9.113.1.2.1.1.2
OidccarStatFilteredPkts ,                       .1.3.6.1.4.1.9.9.113.1.2.1.1.3
OidccarStatFilteredBytes ,                      .1.3.6.1.4.1.9.9.113.1.2.1.1.4
OidcbQosCMPrePolicyByte ,                       .1.3.6.1.4.1.9.9.166.1.15.1.1.5
OidcbQosCMPrePolicyByte64 ,                     .1.3.6.1.4.1.9.9.166.1.15.1.1.6
OidcbQosCMPostPolicyByte ,                      .1.3.6.1.4.1.9.9.166.1.15.1.1.9
OidcbQosCMPostPolicyByte64 ,                    .1.3.6.1.4.1.9.9.166.1.15.1.1.10
OidcbQosCMPrePolicyPkt ,                        .1.3.6.1.4.1.9.9.166.1.15.1.1.2
OidcbQosCMPrePolicyPkt64 ,                      .1.3.6.1.4.1.9.9.166.1.15.1.1.3
OidcbQosCMDropPkt ,                             .1.3.6.1.4.1.9.9.166.1.15.1.1.13
OidcbQosCMDropPkt64 ,                           .1.3.6.1.4.1.9.9.166.1.15.1.1.14
OidcbQosCMDropByte ,                            .1.3.6.1.4.1.9.9.166.1.15.1.1.16
OidcbQosCMDropByte64 ,                          .1.3.6.1.4.1.9.9.166.1.15.1.1.17
OidentSensorValue ,                             .1.3.6.1.4.1.9.9.91.1.1.1.1.4
OidentSensorThreshold ,                         .1.3.6.1.4.1.9.9.91.1.2.1.1.4
OidsysTraffic ,                                 .1.3.6.1.4.1.9.5.1.1.8.0
OidchassisPs1Status ,                           .1.3.6.1.4.1.9.5.1.2.4.0
OidchassisPs2Status ,                           .1.3.6.1.4.1.9.5.1.2.7.0
OidchassisFanStatus ,                           .1.3.6.1.4.1.9.5.1.2.9.0
OidchassisTempAlarm ,                           .1.3.6.1.4.1.9.5.1.2.13.0
OidbandwidthUsageCurrent ,                      .1.3.6.1.4.1.437.1.1.3.7.1.0
OidbandwidthUsagePeak ,                         .1.3.6.1.4.1.437.1.1.3.7.6.1.3.1
OidsysInfoUtilDisplay ,                         .1.3.6.1.4.1.437.1.1.3.1.9.0
OidciscoMemoryPoolName ,                        .1.3.6.1.4.1.9.9.48.1.1.1.2
OidciscoMemoryPoolUsed ,                        .1.3.6.1.4.1.9.9.48.1.1.1.5
OidciscoMemoryPoolFree ,                        .1.3.6.1.4.1.9.9.48.1.1.1.6
OidcpmCPUTotalPhysicalIndex ,                   .1.3.6.1.4.1.9.9.109.1.1.1.1.2
OidcpmCPUTotal1min ,                            .1.3.6.1.4.1.9.9.109.1.1.1.1.4
OidcpmCPUTotal5min ,                            .1.3.6.1.4.1.9.9.109.1.1.1.1.5
OidcpmCPUTotal1minRev ,                         .1.3.6.1.4.1.9.9.109.1.1.1.1.7
OidcpmCPUTotal5minRev ,                         .1.3.6.1.4.1.9.9.109.1.1.1.1.8
OidciscoEnvMonFanState ,                        .1.3.6.1.4.1.9.9.13.1.4.1.3
OidciscoEnvMonSupplyState ,                     .1.3.6.1.4.1.9.9.13.1.5.1.3
